content_id,product_ids,lengths
dc9c,"['4417', '4427', '4329', '4483', '4438']",5
dcaf,['9d29'],1
dcbe,"['31d8', '2fe9', '3199', '31e8', '3271']",5
dfa1,['ed65'],1
e4c2,['2533'],1
e4c6,['21c3'],1
e4d4,"['ed74', 'ed7a']",2
ec40,"['9cff', '9cfc', '9d02', '9d05']",4
ec42,['b7e3'],1
ec44,['ed5f'],1
4fa6,"['95da', '95a4', '95ef', '961a', '9584']",5
4fb5,"['f0f5', 'f1b9', 'f1f6', 'f221', 'f205', 'f266', 'f190', 'f156', 'f174', 'f1c8', 'f0d7', 'f1d4']",12
4fb7,"['2530', '2536', '2539', '2533']",4
4fb9,['ed80'],1
4fbb,['b7f2'],1
4fbe,"['0255', '0217', '0237', '024f', '0273']",5
4fc4,['b85d'],1
529d,"['5f6c', '5f45', '5f7e', '5f5b']",4
52bc,"['9cff', '9cfc']",2
52be,['ed77'],1
52c2,"['887e', '8865']",2
52ca,['9e15'],1
591d,"['c4e0', 'c501']",2
5948,"['e9d9', 'e9d3', 'e9e3', 'ea8d', 'ea3c', 'e9df', 'e9f5', 'e9b7', 'e9b0', 'ea4c', 'ea66', 'ea3f', 'ea59', 'dd91']",14
5965,"['e0ba', 'e0a2', 'e18e', 'e1a2', 'e1ad', 'e187']",6
5977,"['ed65', 'ed71', 'ed77', 'ed68', 'ed74', 'ed7d', 'ed7a']",7
5994,"['c4e0', 'c4dd', 'c4c8']",3
59d1,['b884'],1
59d3,"['2503', '2500']",2
59d5,"['2a22', '2a19', '2a1f']",3
59dc,['60c6'],1
59de,['9f39'],1
59e0,['e8dd'],1
59e2,"['2a1c', '2a1f', '2a19']",3
59e4,['2718'],1
59ed,['b8c5'],1
59f5,"['c4da', 'c4e0', 'c501']",3
787b,"['9cfc', '9d14']",2
7896,"['eec9', 'f018', 'ef15']",3
78d2,['9d02'],1
78e8,"['c4e0', 'c4da', 'c501']",3
78fc,['2495'],1
794d,"['2659', '2684']",2
7962,"['9e44', '9e3e', '9e41', '9e38']",4
799f,['247c'],1
79df,"['8925', '88c5', '8942', '894a']",4
7a28,"['c4e0', 'c501', 'c4da']",3
a258,['88cd'],1
a25d,"['248e', '2482', '249a', '2495']",4
a264,"['5fd0', '5fbe', '5fd6', '5fc7', '5fcd']",5
a268,['88b0'],1
9cd4,"['45e9', '44be', '44a7', '44b8', '44c3', '44b1', 'd0cf', '45ed']",8
9cfa,"['609f', '5ffc', '60ab', '62bd', '60f9', '5f06', '605f']",7
9d08,"['2c44', '3f8e', '3fcb', '3fa0', '4002', '3fe8', '4018', '4064', '5def', '4021']",10
f14b,['6ba3'],1
f14e,['fd14'],1
f165,"['274b', '2772']",2
f175,['b884'],1
f196,['6d1c'],1
f198,"['266c', '2679']",2
f1a0,['b877'],1
f1b1,['fd21'],1
fbe4,['fd14'],1
fbe8,['b843'],1
fbf1,['fd65'],1
fbf5,['2865'],1
fbfd,['b85d'],1
fc0a,['28b4'],1
6eaa,"['e9b7', 'e9b0']",2
6ec0,"['9496', '93d0']",2
6ec2,"['897a', '883a', '885b']",3
6f0a,['9d0b'],1
831f,['0fe9'],1
8324,['e2bd'],1
8326,['e07e'],1
8331,['e93f'],1
8338,['e08a'],1
833d,['e08d'],1
833f,"['93e7', '93ff', 'f379']",3
af30,"['efc7', 'f1d3']",2
af33,"['e140', 'e178', 'e1ed', 'e156', 'e16a']",5
af35,"['bfac', 'bfb5', 'bfb8', 'bfaf', 'bfb2']",5
